# farm,Total area (ha),Area in production (ha)
354,6.00,6.00
355,32.00,30.00
356,4.90,4.90
357,6.50,6.00
358,4.20,4.20
359,2.00,2.00
360,0.17,0.17
361,0.20,0.20
362,5.00,5.00
363,1.50,1.00
364,2.00,2.00
365,12.00,12.00
366,0.62,0.62
367,1.40,1.40
368,1.00,0.60
369,5.00,5.00
370,1.00,1.00
371,3.00,3.00
372,0.20,0.20
373,6.00,6.00
374,4.00,4.00
375,2.00,2.00
376,2.50,2.00
377,0.60,0.60
378,0.70,0.70
379,1.00,0.40
380,7.00,6.00
381,0.70,0.70
382,3.50,3.50
383,4.00,0.60
384,0.70,0.70
385,0.25,0.25
386,1.00,1.00
387,1.40,1.20
388,10.50,10.00
389,2.40,2.40
390,4.00,2.00
391,10.00,8.00
392,1.25,1.25
393,9.00,7.50
394,10.00,9.00
395,2.00,2.00
396,4.00,4.00
397,1.00,0.70
398,4.00,4.00
399,2.50,2.50
400,1.00,1.00
401,2.50,2.50
402,16.00,16.00
403,1.00,1.00
404,5.00,2.00
405,1.00,1.00
406,1.00,1.00
407,0.70,0.70
408,10.00,7.00
409,7.00,5.00
410,2.10,2.10
411,4.20,4.10
412,7.00,5.00
413,5.00,5.00
414,0.50,0.50
415,4.00,4.00
416,3.00,3.00
417,0.70,1.00
418,3.50,3.50
419,6.50,6.50
420,3.00,3.00
421,1.00,1.00
422,5.60,5.00
423,2.50,2.50
424,0.20,0.20
425,1.00,1.00
426,1.00,0.80
427,4.00,4.00
428,1.00,1.00
429,42.00,28.00
430,8.50,8.00
431,0.09,0.09
432,2.00,1.60
433,0.20,0.20
434,4.00,4.00
435,6.00,6.00
436,1.00,1.00
437,20.00,20.00
438,1.00,1.00
439,3.00,3.00
440,8.00,8.00
441,1.00,1.00
442,12.60,12.60
443,0.12,0.11
444,1.00,1.00
445,1.50,0.80
446,1.00,1.00
447,2.00,2.00
448,0.80,0.80
449,4.50,4.50
450,2.00,1.40
451,0.70,0.70
452,1.00,0.70
453,14.00,10.50
454,0.20,0.20
455,21.00,21.00
456,2.10,2.10
457,2.00,2.00
458,3.00,3.00
459,7.00,7.00
460,1.00,1.00
461,0.50,0.50
462,3.50,3.50
463,0.70,0.70
464,21.00,21.00
465,1.00,1.00
466,12.00,12.00
467,16.00,16.00
468,3.00,3.00
469,2.80,2.80
470,0.30,0.30
471,4.20,3.50
472,13.00,13.00
473,23.00,15.00
474,11.00,11.00
475,7.00,7.00
476,0.50,0.50
477,4.20,3.80
478,2.10,1.40
479,2.50,2.10
480,1.75,1.75
481,8.00,8.00
482,2.80,1.10
483,4.90,4.90
484,2.10,2.10
485,4.00,3.90
486,12.00,12.00
487,3.00,3.00
488,0.70,0.70
489,0.30,0.30
490,2.50,2.00
491,0.70,0.60
492,0.80,0.80
493,12.00,12.00
494,7.00,7.00
495,0.70,0.70
496,0.90,0.90
497,0.90,0.90
498,3.50,3.20
499,1.00,1.00
500,3.00,3.00
501,3.00,3.00
502,1.50,0.50
503,0.70,0.70
504,1.00,1.00
505,2.80,2.80
506,1.00,1.00
507,1.00,1.00
508,0.50,0.50
509,0.50,0.50
510,0.50,0.50
511,2.50,1.50
512,5.00,5.00
513,4.50,4.00
514,12.00,10.00
515,75.00,75.00
516,8.00,3.00
517,0.50,0.50
518,4.20,4.20
519,2.00,2.00
520,0.35,0.35
521,1.40,1.40
522,4.00,4.00
523,2.00,2.00
524,4.20,3.85
525,2.00,2.00
526,2.00,1.00
527,1.20,1.00
528,7.00,7.00
529,0.30,0.25
530,0.25,0.20
531,3.50,3.50
532,0.70,0.70
533,0.70,0.70
534,1.50,1.50
535,1.75,1.75
536,1.75,1.75
537,2.80,2.80
538,0.70,0.70
539,2.00,2.00
540,2.00,1.50
541,1.00,1.00
542,1.00,1.00
543,8.40,5.60
544,3.00,3.00
545,1.00,1.00
546,1.70,1.70
547,0.70,0.70
548,2.00,2.00
549,7.00,2.10
550,1.00,1.00
551,3.50,3.50
552,3.00,3.00
553,1.70,1.50
554,6.30,6.00
555,1.00,0.50
556,1.00,1.00
557,1.00,1.00
558,6.30,6.30
559,2.00,2.00
560,1.00,0.70
561,1.00,1.00
562,0.75,0.75
563,21.00,3.00
564,2.00,2.00
565,0.50,0.50
566,2.00,2.00
567,1.00,1.00
568,14.00,4.90
569,1.40,1.40
570,4.00,4.00
571,1.00,1.00
572,10.00,2.00
573,1.50,1.50
574,2.00,2.00
575,3.00,3.00
576,0.50,0.50
577,2.10,1.05
578,1.00,1.00
579,2.00,2.00
580,20.00,5.00
581,1.00,1.00
582,2.10,2.10
583,2.50,2.20
584,2.80,2.80
585,0.70,0.70
586,6.30,3.50
587,0.50,0.50
588,7.00,5.00
589,6.00,4.00
590,0.10,0.10
591,1.10,1.10
592,7.00,5.60
593,1.40,1.40
594,2.10,2.10
595,1.80,1.80
596,0.70,0.70
597,7.00,7.00
598,4.00,3.00
599,0.11,0.11
600,1.23,1.00
601,2.80,1.00
602,1.00,1.00
603,1.00,1.00
604,2.10,2.10
605,1.25,1.00
606,2.10,2.10
607,2.10,2.10
608,2.80,2.10
609,3.50,3.50
610,4.00,4.00
611,2.00,2.00
612,3.50,1.40
613,2.80,2.80
614,1.75,1.75
615,0.17,0.17
616,1.50,0.17
617,0.35,0.35
618,3.32,3.32
619,3.00,3.00
620,2.10,2.10
621,4.90,2.10
622,0.70,0.70
623,2.00,2.00
624,2.10,0.70
625,3.50,3.50
626,0.25,0.25
627,5.25,2.25
628,1.40,1.40
629,1.00,1.00
630,2.70,2.70
631,1.50,1.50
632,4.00,4.00
633,1.00,1.00
634,2.10,2.10
635,3.00,3.00
636,4.00,4.00
637,0.15,0.15
638,1.40,1.40
639,4.00,4.00
640,0.35,0.35
641,1.00,1.00
642,1.00,1.00
643,0.30,0.30
644,0.35,0.35
645,1.00,1.00
646,3.50,3.50
647,0.25,0.20
648,1.00,1.00
649,7.50,7.50
650,3.00,3.00
651,0.35,0.35
652,2.00,1.00
653,1.00,1.00
654,0.70,0.70
655,1.00,1.00
656,1.00,1.00
657,1.00,1.00
658,14.00,14.00
659,3.00,1.80
660,1.00,1.00
661,3.50,3.50
662,9.00,9.00
663,1.00,1.00
664,10.50,10.50
665,3.50,1.50
666,1.40,1.40
667,9.00,0.70
668,2.00,2.00
669,10.70,10.00
670,6.30,6.30
671,1.50,1.50
672,3.00,3.00
673,3.00,3.00
674,1.40,1.40
675,0.50,0.50
676,2.10,2.10
677,1.50,1.50
678,1.00,1.00
679,5.00,4.00
680,2.00,2.00
681,0.50,0.50
682,1.00,1.00
683,2.00,2.00
684,1.50,1.50
685,2.00,2.00
686,1.00,1.00
687,0.25,0.25
688,2.00,2.00
689,0.25,0.25
690,1.00,0.90
691,2.10,2.10
692,4.70,4.05
693,1.25,1.25
694,5.60,4.20
695,0.70,0.70
696,3.85,1.40
697,3.00,1.40
698,1.00,1.00
699,0.50,0.50
700,11.20,11.20
701,1.00,1.00
702,0.70,0.70
703,2.50,2.50
704,4.00,2.00
705,1.75,1.40
706,3.20,3.00
707,0.50,0.50
708,0.70,0.70
709,1.00,1.00
710,1.00,1.00
711,0.50,0.50
712,8.70,6.50
713,3.00,3.00
714,9.50,6.00
715,9.00,5.00
716,30.00,30.00
717,10.00,10.00
718,0.50,0.50
719,7.00,7.00
720,3.00,3.00
721,1.00,1.00
722,0.25,0.25
723,1.00,1.00
724,0.40,0.40
725,3.50,2.50
726,5.00,5.00
727,5.00,5.00
728,0.75,0.75
729,0.70,0.70
730,1.00,1.00
731,1.00,1.00
732,0.20,0.20
733,0.50,0.50
734,5.30,3.10
735,2.20,1.90
736,8.00,7.00
737,20.30,16.10
738,11.50,10.50
739,3.80,3.80
740,10.00,5.00
741,1.00,1.00
742,7.50,2.50
743,2.10,2.10
744,0.70,0.70
745,2.00,2.00
746,1.00,1.00
747,1.00,1.00
748,1.00,1.00
749,4.00,3.00
750,1.00,1.00
751,0.70,0.70
752,1.00,1.00
753,6.00,5.00
754,4.00,4.00
755,1.00,1.00
756,0.70,0.70
757,0.35,0.35
758,2.80,2.00
759,2.10,1.40
760,4.00,3.00
761,1.50,1.50
762,3.70,3.70
763,21.00,21.00
764,3.80,3.80
765,2.00,2.00
766,2.00,2.00
767,3.50,3.50
768,1.40,1.40
769,6.00,5.00
770,1.00,1.00
771,3.50,3.50
772,1.00,1.00
773,0.35,0.35
774,1.00,1.00
775,7.00,7.00
776,1.00,1.00
777,5.00,5.00
778,17.00,12.00
779,1.00,1.00
780,4.00,4.00
781,1.80,1.50
782,0.70,0.70
783,2.80,2.80
784,8.00,3.00
785,2.00,2.00
786,0.70,0.70
787,1.00,1.00
788,0.70,0.70
789,0.55,0.55
790,10.00,10.00
791,1.00,1.00
792,1.50,1.50
793,3.00,3.00
794,3.00,3.00
795,3.50,3.50
796,1.30,1.30
797,2.80,2.80
798,1.50,1.50
799,1.50,1.50
800,1.00,1.00
801,1.40,1.40
802,2.00,1.00
803,0.70,0.70
804,7.00,4.00
805,1.00,1.00
806,0.70,0.34
807,1.00,1.00
808,0.70,0.70
809,2.00,2.00
810,1.00,1.00
811,1.50,1.50
812,0.50,0.50
813,4.00,4.00
814,3.00,3.00
815,3.00,3.00
816,4.00,4.00
817,2.50,2.50
818,1.00,1.00
819,0.70,0.70
820,0.93,0.70
821,8.40,7.35
822,0.70,0.70
823,1.25,1.25
824,0.70,0.70
825,10.00,10.00
826,0.70,0.70
827,2.00,2.00
828,1.50,1.50
829,0.70,0.70
830,1.35,1.35
831,1.10,1.10
832,10.00,10.00
833,2.50,2.50
834,2.00,2.00
835,0.75,0.75
836,2.00,2.00
837,0.10,0.10
838,3.50,3.50
839,0.40,0.40
840,4.00,4.00
841,2.80,2.10
842,0.35,0.35
843,4.20,4.20
844,1.00,1.00
845,1.35,1.35
846,1.80,1.80
847,0.20,0.10
848,1.00,1.00
849,2.80,2.80
