# farm,Total area (ha),Area in production (ha)
1359,5.60,5.60
1360,4.00,4.00
1361,0.70,0.70
1362,4.30,4.30
1363,1.00,1.00
1364,6.30,6.30
1365,0.18,0.18
1366,2.00,2.00
1367,1.00,1.00
1368,0.70,0.70
1369,1.00,1.00
1370,1.00,1.00
1371,3.00,3.00
1372,4.00,4.00
1373,2.00,2.00
1374,2.60,2.60
1375,2.10,2.10
1376,2.00,1.00
1377,5.00,5.00
1378,0.80,0.80
1379,1.00,1.00
1380,14.00,14.00
1381,1.00,1.00
1382,0.35,0.35
1383,3.80,3.80
1384,4.20,4.20
1385,2.10,2.10
1386,8.40,8.40
1387,22.50,9.50
1388,28.00,28.00
1389,16.10,16.10
1390,12.00,12.00
1391,0.50,0.50
1392,7.00,7.00
1393,0.70,0.70
1394,7.00,7.00
1395,7.00,5.00
1396,2.00,2.00
1397,1.50,1.50
1398,5.00,4.00
1399,1.00,1.00
1400,3.50,3.50
1401,0.50,0.50
1402,3.50,3.50
1403,1.00,1.00
1404,1.50,1.00
1405,3.10,3.10
1406,1.00,1.00
1407,15.00,15.00
1408,1.75,1.75
1409,14.00,14.00
1410,5.60,5.60
1411,1.00,1.00
1412,2.10,2.10
1413,2.00,2.00
1414,2.00,2.00
1415,1.80,1.80
1416,1.50,1.50
1417,2.00,2.00
1418,3.00,2.50
1419,5.00,2.00
1420,0.18,0.18
1421,2.00,2.00
1422,1.50,1.50
1423,1.40,0.70
1424,1.00,1.00
1425,3.50,1.05
1426,3.00,3.00
1427,1.40,1.40
1428,19.00,19.00
1429,4.50,4.50
1430,1.00,1.00
1431,3.00,3.00
1432,5.60,5.60
1433,3.50,3.50
1434,4.00,4.00
1435,0.70,0.70
1436,1.50,1.50
1437,0.70,0.70
1438,1.25,1.25
1439,1.00,1.00
1440,2.00,2.00
1441,6.10,6.10
1442,4.00,4.00
1443,7.00,7.00
1444,0.50,0.50
1445,2.70,2.70
1446,2.10,2.00
1447,3.50,1.00
1448,0.80,0.75
1449,0.25,0.25
1450,10.90,10.90
1451,4.00,4.00
1452,8.00,5.00
1453,3.00,3.00
1454,4.60,4.60
1455,0.70,0.70
1456,2.90,2.90
1457,8.50,7.50
1458,2.00,2.00
1459,8.40,8.40
1460,2.50,2.50
1461,1.00,1.00
1462,3.15,3.15
1463,1.00,1.00
1464,1.00,1.00
1465,2.80,2.80
1466,18.20,14.00
1467,3.00,2.50
1468,3.00,3.00
1469,3.00,3.00
1470,2.40,2.40
1471,1.80,1.80
1472,2.00,2.00
1473,2.00,2.00
1474,1.00,1.00
1475,2.50,2.50
1476,2.50,2.50
1477,4.00,4.00
1478,2.80,2.80
1479,2.00,2.00
1480,17.00,17.00
1481,3.10,3.00
1482,3.00,3.00
1483,4.50,4.50
1484,0.70,0.70
1485,1.40,1.40
1486,2.00,1.00
1487,2.00,2.00
1488,5.00,4.00
1489,8.40,4.90
1490,2.00,2.00
1491,3.00,3.00
1492,1.00,1.00
1493,1.00,1.00
1494,3.00,1.00
1495,4.00,4.00
1496,6.30,6.30
1497,1.00,1.00
1498,80.00,77.00
1499,2.80,2.80
1500,2.10,2.10
1501,3.00,3.00
1502,6.00,5.00
1503,21.00,21.00
1504,5.00,5.00
1505,1.40,1.40
1506,2.00,2.00
1507,1.00,1.00
1508,2.75,2.75
1509,12.15,12.15
1510,1.40,0.35
1511,8.00,8.00
1512,2.50,2.00
1513,20.00,15.00
1514,3.10,3.10
1515,2.80,2.10
1516,2.80,2.45
1517,2.00,1.00
1518,2.50,2.50
1519,3.50,2.50
1520,8.00,8.00
1521,0.50,0.50
1522,3.50,3.50
1523,7.00,7.00
1524,3.00,3.00
1525,10.50,9.80
1526,0.30,0.30
1527,1.50,1.00
1528,3.00,25.00
1529,20.00,12.00
1530,0.70,0.70
1531,2.20,2.20
1532,13.00,13.00
1533,1.00,1.00
1534,1.00,1.00
1535,1.00,1.00
1536,2.50,2.50
1537,0.75,0.75
1538,2.35,2.35
1539,3.50,2.50
1540,0.70,0.50
1541,7.00,3.00
1542,7.00,7.00
1543,2.50,2.50
1544,0.80,0.80
1545,30.00,28.00
1546,5.00,2.00
1547,10.00,10.00
1548,2.10,2.10
1549,1.50,1.50
1550,0.35,0.35
1551,1.00,1.00
1552,0.20,0.20
1553,8.00,8.00
1554,1.00,1.00
1555,7.00,7.00
1556,4.00,4.00
1557,2.80,2.80
1558,2.00,2.00
1559,4.10,4.10
1560,2.10,1.40
1561,0.75,0.75
1562,0.04,0.04
1563,0.35,0.35
1564,0.20,0.20
1565,1.00,1.00
1566,1.00,1.00
1567,0.40,0.40
1568,1.00,1.00
1569,1.20,1.20
1570,2.10,2.10
1571,2.00,2.00
1572,1.20,1.00
1573,0.70,0.70
1574,7.00,6.00
1575,3.50,3.50
1576,2.00,2.00
1577,1.00,1.00
1578,1.00,1.00
1579,2.25,1.50
1580,0.70,0.70
1581,1.40,1.40
1582,40.00,40.00
1583,2.00,2.00
1584,15.00,15.00
1585,1.00,1.00
1586,3.70,3.30
1587,2.80,2.80
1588,6.00,6.00
1589,0.20,0.20
1590,2.35,2.35
1591,2.00,2.00
1592,4.00,4.00
1593,6.00,5.70
1594,1.00,1.00
1595,2.00,2.00
1596,21.00,21.00
1597,50.00,50.00
1598,1.00,1.00
1599,1.40,1.40
1600,2.00,2.00
1601,2.00,2.00
1602,2.30,2.30
1603,3.00,3.00
1604,2.00,1.00
1605,4.20,4.20
1606,1.35,1.35
1607,6.50,4.50
1608,6.00,4.00
1609,2.00,2.00
1610,7.50,7.50
1611,1.50,1.50
1612,1.05,1.05
1613,70.00,70.00
1614,10.50,10.50
1615,8.70,6.50
1616,14.00,11.00
1617,2.50,2.50
1618,5.00,5.00
1619,1.50,1.50
1620,0.30,0.30
1621,3.80,3.80
1622,0.70,0.70
1623,1.40,1.40
1624,4.50,4.50
1625,2.00,1.80
1626,1.80,1.80
1627,2.10,2.00
1628,1.00,1.00
1629,2.00,2.00
1630,0.70,0.70
1631,0.70,0.70
1632,0.70,0.70
1633,8.40,8.40
1634,3.00,2.70
1635,25.00,25.00
1636,0.70,0.70
1637,1.25,1.25
1638,2.10,2.10
1639,4.20,4.20
1640,5.80,5.60
1641,5.20,5.20
1642,0.18,0.18
1643,1.00,1.00
1644,0.20,0.20
1645,42.00,41.30
1646,5.00,5.00
1647,2.10,2.10
1648,1.00,1.00
1649,4.90,4.90
1650,10.50,10.50
1651,1.50,1.50
1652,1.50,1.50
1653,2.80,2.80
1654,0.70,0.70
1655,1.00,1.00
1656,17.50,17.50
1657,0.50,0.50
1658,1.70,1.70
1659,0.28,0.28
1660,3.50,3.50
1661,5.00,5.00
1662,20.50,19.10
1663,0.60,0.60
1664,2.00,2.00
1665,3.00,3.00
1666,5.00,4.00
1667,3.00,3.00
1668,1.50,1.50
1669,6.00,6.00
1670,9.00,9.00
1671,7.00,7.00
1672,1.40,1.40
1673,0.75,0.75
1674,140.00,120.00
1675,0.30,0.30
1676,3.00,3.00
1677,21.00,17.00
1678,0.70,0.35
1679,12.00,12.00
1680,2.00,2.00
1681,0.50,0.50
1682,1.00,1.00
1683,2.00,2.00
1684,4.90,4.90
1685,3.00,3.00
1686,2.80,2.00
1687,0.40,0.40
1688,1.70,1.70
1689,1.35,1.35
1690,2.00,2.00
1691,1.20,1.20
1692,2.10,2.10
1693,3.00,2.00
1694,3.00,3.00
1695,1.40,1.40
1696,2.00,2.00
1697,4.10,4.10
1698,4.00,2.80
1699,1.50,1.50
1700,1.70,1.70
1701,4.50,4.50
1702,2.10,2.10
1703,4.90,4.90
1704,2.80,2.80
1705,3.25,3.25
1706,0.53,0.53
1707,1.04,1.04
1708,0.20,0.20
1709,3.00,3.00
1710,2.00,1.50
1711,2.00,2.00
1712,2.00,2.00
1713,1.90,1.30
1714,1.50,1.30
1715,1.70,1.70
1716,1.00,1.00
1717,7.00,7.00
1718,0.90,0.60
1719,0.10,0.10
1720,0.17,0.17
1721,1.70,1.70
1722,0.18,0.18
1723,1.60,1.15
1724,4.00,2.00
1725,1.75,1.50
1726,0.90,0.90
1727,1.00,1.00
1728,3.20,3.20
1729,52.00,23.00
1730,2.00,2.00
1731,15.00,2.50
1732,0.20,0.20
1733,0.35,0.35
1734,5.60,5.60
1735,3.50,3.00
1736,2.50,2.00
1737,1.10,0.70
1738,6.00,3.00
1739,13.50,13.50
1740,8.00,7.70
1741,1.57,1.57
1742,1.80,1.80
1743,2.00,2.00
1744,2.80,2.80
1745,1.10,1.10
1746,2.10,2.10
1747,3.00,3.00
1748,2.50,2.50
1749,3.50,3.50
1750,2.10,2.10
1751,2.50,2.50
1752,2.10,2.10
1753,11.00,11.00
1754,1.00,1.00
1755,1.00,1.00
1756,6.00,6.00
1757,2.00,2.00
1758,0.70,0.70
1759,2.00,2.00
1760,1.40,1.40
1761,6.00,6.00
1762,1.50,1.50
1763,1.00,1.00
1764,2.00,2.00
1765,3.85,3.85
1766,3.00,2.00
1767,2.00,2.00
1768,0.70,0.70
1769,1.75,1.40
1770,1.00,1.00
1771,0.18,0.18
1772,2.00,2.00
1773,0.35,0.35
1774,3.50,3.15
1775,1.00,1.00
1776,2.00,2.00
1777,1.00,1.00
1778,1.00,1.00
1779,2.10,2.10
1780,3.10,3.00
1781,2.10,2.10
1782,1.80,1.80
1783,9.00,2.00
1784,10.00,5.00
1785,4.00,3.00
1786,1.50,1.50
1787,1.50,1.50
1788,1.00,1.00
1789,2.00,2.00
1790,0.50,0.50
1791,2.00,1.75
1792,1.00,1.00
1793,9.00,5.00
1794,6.00,4.00
1795,4.00,4.00
1796,4.00,4.00
1797,6.00,4.00
1798,2.00,2.00
1799,3.50,3.50
1800,3.00,3.00
1801,3.00,3.00
1802,9.00,1.50
1803,1.40,0.70
1804,2.10,2.10
1805,1.75,1.75
1806,1.00,1.00
1807,4.10,2.00
1808,2.00,2.00
1809,5.00,5.00
1810,7.00,7.00
1811,2.00,2.00
1812,1.00,1.00
1813,0.70,0.70
1814,3.00,2.80
1815,2.00,2.00
1816,1.00,1.00
1817,1.50,1.50
1818,2.00,2.00
1819,1.00,1.00
1820,0.50,0.50
1821,3.50,3.50
1822,3.00,3.00
1823,0.40,0.40
1824,2.10,2.10
1825,0.75,0.75
1826,2.50,2.10
1827,0.70,0.70
1828,1.00,1.00
1829,3.00,3.00
1830,3.50,3.50
1831,1.10,1.10
1832,1.00,1.00
1833,0.18,0.18
1834,4.00,4.00
1835,3.00,2.75
1836,1.00,1.00
1837,2.00,2.00
1838,0.70,0.70
1839,1.00,1.00
1840,5.00,4.00
1841,2.50,2.50
1842,4.00,4.00
1843,4.50,4.50
1844,6.00,6.00
1845,2.10,2.10
1846,5.00,5.00
1847,1.10,1.10
1848,0.70,0.70
1849,0.17,0.17
1850,2.00,0.70
1851,0.90,0.90
1852,1.00,1.00
1853,0.60,0.60
1854,8.00,4.00
1855,1.50,1.50
1856,3.00,3.00
1857,2.40,2.20
1858,1.00,1.00
1859,1.00,1.00
1860,0.60,0.60
1861,2.00,2.00
1862,0.26,0.26
1863,0.30,0.30
1864,5.00,4.00
1865,2.10,2.10
1866,4.08,2.00
1867,3.00,2.50
1868,1.40,1.40
1869,0.70,0.70
1870,1.00,1.00
1871,2.29,1.24
1872,0.70,0.70
1873,2.05,2.05
1874,1.03,1.03
1875,0.50,0.50
1876,3.50,3.50
1877,1.00,1.00
1878,8.00,8.00
1879,3.00,3.00
1880,4.00,4.00
1881,3.00,1.50
1882,1.00,1.00
1883,1.00,1.00
1884,0.52,0.52
1885,0.25,0.25
1886,2.00,2.00
1887,0.70,0.70
1888,0.70,0.70
1889,0.70,0.70
1890,0.70,0.70
1891,1.30,0.70
1892,3.50,3.50
1893,3.15,3.15
1894,2.00,2.00
1895,1.00,1.00
1896,1.40,1.40
1897,0.70,0.70
1898,6.50,6.50
1899,10.00,10.00
1900,3.15,3.15
1901,1.70,1.70
1902,0.70,0.70
1903,100.00,100.00
1904,2.80,2.80
1905,2.10,2.10
1906,1.40,1.40
1907,2.10,2.10
1908,0.35,0.35
1909,2.50,2.50
1910,17.00,15.00
1911,0.30,0.20
1912,3.00,3.00
1913,2.00,1.00
1914,3.00,2.80
1915,3.00,3.00
1916,1.00,0.70
1917,2.00,2.00
1918,1.00,1.00
1919,1.00,1.00
1920,2.80,2.80
1921,0.50,0.50
1922,1.22,1.22
1923,2.80,2.80
1924,5.00,4.00
1925,2.10,2.10
1926,2.00,2.00
1927,2.10,1.40
1928,3.00,0.70
1929,2.80,1.40
1930,1.50,1.00
1931,6.00,4.00
1932,4.00,4.00
1933,2.00,2.00
1934,1.00,1.00
1935,1.00,1.00
1936,0.30,0.20
1937,1.40,1.40
1938,6.90,6.90
1939,3.00,2.00
1940,2.00,4.00
1941,4.20,4.00
1942,1.00,1.00
1943,4.20,4.20
1944,6.00,6.00
1945,19.60,19.60
1946,3.00,3.00
1947,20.00,10.00
1948,1.00,1.00
1949,5.00,5.00
1950,7.30,7.30
1951,1.00,1.00
1952,2.80,2.80
1953,10.50,10.50
1954,2.50,2.50
1955,4.50,4.50
1956,6.00,6.00
1957,0.35,0.35
1958,2.10,2.10
1959,1.40,1.40
1960,1.00,1.00
1961,1.00,1.00
1962,3.00,3.00
1963,1.00,1.00
1964,3.00,3.00
1965,1.00,1.00
1966,1.00,0.70
1967,2.00,2.00
1968,2.00,2.00
1969,2.00,2.00
1970,1.50,1.50
1971,1.40,1.40
1972,13.30,13.20
1973,1.40,1.40
1974,0.35,0.35
1975,2.80,2.10
1976,2.10,2.10
1977,1.00,1.00
1978,2.00,2.00
1979,1.00,1.00
1980,1.00,1.00
1981,5.00,5.00
1982,7.00,7.00
1983,2.00,1.00
1984,0.75,0.75
1985,0.75,0.75
1986,2.00,2.00
1987,2.10,2.10
1988,5.00,5.00
1989,2.00,1.50
1990,0.70,0.70
1991,1.00,1.00
1992,1.00,1.00
1993,1.00,1.00
1994,2.00,2.00
1995,4.50,4.50
1996,4.00,4.00
1997,3.50,3.50
1998,8.00,7.00
1999,5.50,5.50
2000,0.25,0.25
2001,10.50,1.40
2002,1.00,0.90
2003,1.00,1.00
2004,3.50,3.50
2005,3.50,3.50
2006,3.00,3.00
2007,4.20,4.20
2008,2.00,2.00
2009,0.07,0.07
2010,0.25,0.25
2011,0.70,0.70
2012,0.35,0.35
2013,0.18,0.18
2014,4.20,4.20
2015,4.90,4.90
2016,1.50,1.00
2017,0.40,0.40
2018,2.10,2.10
2019,5.00,3.50
2020,10.00,10.00
2021,2.40,2.40
2022,3.50,3.50
2023,1.40,1.40
2024,0.18,0.18
2025,5.00,4.50
2026,1.00,1.00
2027,11.90,4.90
2028,5.00,5.00
2029,0.50,0.50
2030,7.00,7.00
2031,1.00,1.00
2032,6.30,6.30
2033,1.50,1.50
2034,5.00,5.00
2035,3.50,3.50
2036,2.00,2.00
2037,10.50,10.50
2038,2.00,2.00
2039,0.53,0.53
2040,2.00,2.00
2041,3.50,3.50
2042,0.70,0.70
2043,6.90,5.90
2044,0.70,0.70
2045,19.30,19.30
2046,2.30,2.30
2047,2.80,2.80
2048,4.00,4.00
2049,3.00,3.00
2050,1.70,1.50
2051,0.53,0.53
2052,33.60,33.60
2053,1.00,1.00
2054,2.00,2.00
2055,1.20,1.20
2056,4.00,4.00
2057,1.00,1.00
2058,2.00,2.00
2059,3.00,3.00
2060,1.75,1.75
2061,3.00,3.00
2062,0.70,0.70
2063,4.00,4.00
2064,0.18,0.18
2065,7.00,7.00
2066,1.00,1.00
2067,0.70,0.70
2068,0.50,0.50
2069,1.00,1.00
2070,2.00,2.00
2071,53.20,17.50
2072,0.35,0.35
2073,11.00,11.00
2074,4.00,4.00
2075,0.18,0.18
2076,30.00,20.00
2077,8.00,8.00
2078,3.50,3.00
2079,3.00,3.00
2080,1.00,1.00
2081,0.90,0.90
2082,18.00,18.00
2083,1.40,1.40
2084,1.00,1.00
2085,2.00,1.80
2086,5.90,5.90
2087,5.10,5.10
2088,2.10,2.10
2089,2.00,1.00
2090,1.00,1.00
2091,4.25,4.25
2092,10.00,6.00
2093,1.50,1.50
2094,6.00,5.00
2095,2.00,2.00
2096,6.00,2.00
2097,3.15,2.80
2098,3.50,3.50
2099,15.00,15.00
2100,37.00,31.00
2101,32.00,32.00
2102,0.70,0.70
2103,1.00,1.00
2104,1.00,1.00
2105,1.00,1.00
2106,3.50,3.50
2107,3.00,3.00
2108,8.00,8.00
2109,5.90,5.90
2110,3.00,3.00
2111,1.80,1.80
2112,2.80,2.80
2113,2.00,2.00
2114,1.00,1.00
2115,1.50,1.50
2116,1.00,1.00
2117,2.10,2.10
2118,5.00,5.00
2119,4.00,4.00
2120,3.00,3.00
2121,3.00,1.25
2122,10.60,10.60
2123,1.00,1.00
2124,2.10,2.10
2125,7.00,7.00
2126,4.00,4.00
2127,1.00,1.00
2128,1.00,1.00
2129,2.10,0.70
2130,2.10,2.10
2131,2.00,2.00
2132,2.50,1.50
2133,1.00,1.00
2134,2.80,0.17
2135,3.00,3.00
2136,1.00,1.00
2137,4.90,3.50
2138,9.10,7.00
2139,1.60,1.60
2140,1.50,1.50
2141,10.00,10.00
2142,1.00,1.00
2143,2.10,2.10
2144,1.00,1.00
2145,1.00,1.00
2146,2.00,2.00
2147,4.00,4.00
2148,1.00,1.00
2149,1.00,1.00
2150,3.50,3.50
2151,2.10,1.40
2152,2.10,2.10
2153,5.00,5.00
2154,1.00,1.00
2155,1.20,1.20
2156,1.00,1.00
2157,5.60,4.20
2158,2.45,1.75
2159,5.50,5.50
2160,5.00,4.00
2161,4.00,4.00
2162,4.29,3.57
2163,1.00,1.00
2164,40.00,15.00
2165,2.40,2.40
2166,1.40,1.40
2167,4.20,4.00
2168,2.00,1.75
2169,40.00,15.00
2170,2.00,1.75
2171,14.00,14.00
2172,2.40,2.40
2173,4.00,4.00
2174,1.00,1.00
2175,6.30,6.30
2176,3.45,3.45
2177,5.75,5.75
2178,9.10,8.40
2179,1.00,1.00
2180,1.40,1.40
2181,2.00,2.00
2182,8.00,8.00
2183,5.00,4.00
2184,6.00,6.00
2185,1.00,1.00
2186,2.50,2.00
2187,12.00,2.50
2188,2.00,2.00
2189,1.00,1.00
2190,2.00,2.00
2191,3.00,2.00
2192,1.40,1.40
2193,7.00,3.00
2194,8.00,5.00
2195,2.00,2.00
2196,4.50,1.00
2197,2.00,1.00
2198,1.00,0.35
2199,3.50,3.50
2200,7.50,6.75
2201,0.93,0.93
2202,2.00,2.00
2203,0.75,0.75
2204,28.00,28.00
2205,2.10,2.10
2206,0.70,0.70
2207,1.60,1.60
2208,1.00,1.00
2209,3.00,2.00
2210,2.10,2.10
2211,3.50,3.50
2212,5.00,4.00
2213,3.85,2.80
2214,1.00,1.00
2215,2.00,2.00
2216,8.00,1.00
2217,5.00,5.00
2218,8.00,6.00
2219,1.00,1.00
2220,2.20,2.20
2221,2.50,1.50
2222,1.40,1.40
2223,2.00,2.00
2224,1.00,1.00
2225,2.00,2.00
2226,2.50,2.50
2227,6.00,6.00
2228,1.50,1.50
2229,2.10,2.10
2230,1.00,1.00
2231,1.40,1.40
2232,4.02,3.08
2233,2.10,2.00
2234,0.70,0.70
2235,0.35,0.35
2236,1.00,1.00
2237,1.50,1.25
2238,2.00,2.00
2239,1.00,1.00
2240,2.00,2.00
2241,0.35,0.35
2242,1.70,1.00
2243,3.50,3.50
2244,6.00,6.00
2245,9.80,3.50
2246,3.50,3.50
2247,3.50,2.80
2248,1.00,1.00
2249,1.00,1.00
2250,0.40,0.40
2251,0.50,0.50
2252,2.80,2.80
2253,2.80,2.80
2254,7.00,5.60
2255,5.90,5.90
2256,4.20,4.20
2257,12.60,12.60
2258,1.90,0.50
2259,1.20,1.20
2260,3.00,3.00
Total,"10,154.68","8,646.04"
,Hect‡reas,Hect‡reas
